text,true_label,true_intent,pred_label,pred_intent,pred_confidence,top_k_intents,top_k_probs
How do I locate my card?,11,card_arrival,41,lost_or_stolen_card,0.5172186493873596,"['lost_or_stolen_card', 'card_linking', 'order_physical_card']","[0.5172186493873596, 0.14625820517539978, 0.0931166484951973]"
Is there a way to know when my card will arrive?,11,card_arrival,12,card_delivery_estimate,0.8148981332778931,"['card_delivery_estimate', 'card_arrival', 'card_about_to_expire']","[0.8148981332778931, 0.17229558527469635, 0.0010370280360803008]"
When will I get my card?,11,card_arrival,12,card_delivery_estimate,0.970879852771759,"['card_delivery_estimate', 'card_arrival', 'card_about_to_expire']","[0.970879852771759, 0.01889318972826004, 0.000953787995968014]"
How long does a card delivery take?,11,card_arrival,12,card_delivery_estimate,0.613534688949585,"['card_delivery_estimate', 'card_arrival', 'card_about_to_expire']","[0.613534688949585, 0.36862316727638245, 0.0034210735466331244]"
How do I know when my card will arrive?,11,card_arrival,12,card_delivery_estimate,0.9565671682357788,"['card_delivery_estimate', 'card_arrival', 'card_about_to_expire']","[0.9565671682357788, 0.03379446640610695, 0.0010814095148816705]"
Is there tracking info available?,11,card_arrival,74,why_verify_identity,0.4992031157016754,"['why_verify_identity', 'card_arrival', 'unable_to_verify_identity']","[0.4992031157016754, 0.32207056879997253, 0.03571496531367302]"
The app doesn't show the card I received.,13,card_linking,11,card_arrival,0.7873454689979553,"['card_arrival', 'unable_to_verify_identity', 'lost_or_stolen_card']","[0.7873454689979553, 0.044048890471458435, 0.033825721591711044]"
Is it a good time to exchange?,32,exchange_rate,33,exchange_via_app,0.3603769838809967,"['exchange_via_app', 'transfer_timing', 'exchange_rate']","[0.3603769838809967, 0.323777973651886, 0.11485899239778519]"
Why am I being charged more ?,17,card_payment_wrong_exchange_rate,34,extra_charge_on_statement,0.5445224046707153,"['extra_charge_on_statement', 'card_payment_fee_charged', 'transfer_fee_charged']","[0.5445224046707153, 0.2033618539571762, 0.15002256631851196]"
the conversion value for my card payments is incorrect.,17,card_payment_wrong_exchange_rate,53,reverted_card_payment?,0.5102418661117554,"['reverted_card_payment?', 'request_refund', 'card_payment_wrong_exchange_rate']","[0.5102418661117554, 0.16330765187740326, 0.05130256339907646]"
How can I check the exchange rate applied to my transaction?,17,card_payment_wrong_exchange_rate,32,exchange_rate,0.9679400324821472,"['exchange_rate', 'card_payment_wrong_exchange_rate', 'wrong_exchange_rate_for_cash_withdrawal']","[0.9679400324821472, 0.014881197363138199, 0.0037807058542966843]"
Where did this fee come from?,34,extra_charge_on_statement,15,card_payment_fee_charged,0.9652113914489746,"['card_payment_fee_charged', 'extra_charge_on_statement', 'transfer_fee_charged']","[0.9652113914489746, 0.009931398555636406, 0.009324144572019577]"
"I am a new customer, and I happened to look at my app and there is a charge I am not familiar with.  Could you tell me why the extra charge is there?",34,extra_charge_on_statement,28,direct_debit_payment_not_recognised,0.56490558385849,"['direct_debit_payment_not_recognised', 'extra_charge_on_statement', 'request_refund']","[0.56490558385849, 0.2278691679239273, 0.056448794901371]"
Where's accounting for my cash withdrawal?,46,pending_cash_withdrawal,20,cash_withdrawal_not_recognised,0.7039265036582947,"['cash_withdrawal_not_recognised', 'pending_cash_withdrawal', 'cash_withdrawal_charge']","[0.7039265036582947, 0.2186512053012848, 0.02236936241388321]"
My account was charged for a withdraw I tried to make that was decline.,46,pending_cash_withdrawal,26,declined_cash_withdrawal,0.703674852848053,"['declined_cash_withdrawal', 'cash_withdrawal_charge', 'atm_support']","[0.703674852848053, 0.24128834903240204, 0.010640662163496017]"
"There is an incoming payment into my account, but it is deactivated. Will they still be processed?",36,fiat_currency_support,45,pending_card_payment,0.6441217660903931,"['pending_card_payment', 'reverted_card_payment?', 'request_refund']","[0.6441217660903931, 0.29588261246681213, 0.014429841190576553]"
Do you offer additional currency options?,36,fiat_currency_support,31,exchange_charge,0.4928852915763855,"['exchange_charge', 'fiat_currency_support', 'supported_cards_and_currencies']","[0.4928852915763855, 0.1931399703025818, 0.18117043375968933]"
How do I change currencies to euros?,36,fiat_currency_support,33,exchange_via_app,0.9409782886505127,"['exchange_via_app', 'fiat_currency_support', 'exchange_charge']","[0.9409782886505127, 0.03956976905465126, 0.003373656887561083]"
Am I able to exchange currencies?,36,fiat_currency_support,33,exchange_via_app,0.9728204011917114,"['exchange_via_app', 'receiving_money', 'exchange_charge']","[0.9728204011917114, 0.00659153051674366, 0.005647169426083565]"
Can I exchange currencies?,36,fiat_currency_support,33,exchange_via_app,0.9350031614303589,"['exchange_via_app', 'fiat_currency_support', 'exchange_charge']","[0.9350031614303589, 0.047536060214042664, 0.005791360046714544]"
What countries can I travel to and have access to their currencies?,36,fiat_currency_support,24,country_support,0.8949102759361267,"['country_support', 'fiat_currency_support', 'supported_cards_and_currencies']","[0.8949102759361267, 0.05783102661371231, 0.011391649022698402]"
